LabID,Phylum,Order,Taxon_name,Average_weightloss(%)(Exp1),Average_decomposition(%)(Exp1),Average_hyphallength(m/g soil)(Exp1),Litter_type(Exp1),Glucose_use(Exp2),Cellobiose_use(Exp2),Xylan_use(Exp2),Cellulose_use(Exp2),Litter_use(Exp2),CCUA(Exp2),Alkaline_phosphatase(Exp3),Acid_phosphatase(Exp3),Esterase(Exp3),Lipase(Exp3),Leucine_arylamidase(Exp3),Valine_arylamidase(Exp3),Trypsin(Exp3),a_chymotrypsin(Exp3),Phosphohydrolase(Exp3),a_galactosidase(Exp3),b_galactosidase(Exp3),b_glucoronidase(Exp3),a_glucosidase(Exp3),b_glucosidase(Exp3),b_glucosaminidase(Exp3),a_mannosidase(Exp3),"NewAggregateFormation(Lehmann,2020)","DominanceIndex/Competitiveness(Lehmann,2020)","Colony_extension_rate(Lehmann,2020)","Palatability(Lehmann,2020)","Biomass_density(Zheng,2020)","Hydrophobicity(Zheng,2020)","Laccase(Zheng,2020)","Leucine_aminopeptidase(Zheng,2020)","Cellobiohydrolase(Zheng,2020)","Acid_phosphatase(Zheng,2020)"
RLCS11,Mucoromycota,Mortierellales,Mortierella_alpina_strain_2,5.41,0.54,23.38,wood,1,0,0,0,0,1,40,40,0,0,40,10,0,0,36.66666667,0,0,0,0,0,40,0,4.054545,21,148.12867,24.636806,0.033761,50,0.03577892,2.02055648,0.004330544,0.71590681
RLCS12,Ascomycota,Pleosporales,Didymellaceae_strain_1,53.37,48.5,27.98,wood,0.099108734,0.518003565,1,0.114795009,0.07771836,2.753546099,40,40,8.333333333,0,26.66666667,3.333333333,1.666666667,0,40,23.33333333,0,0,0,33.33333333,40,11.66666667,6.081818,89,129.69583,20.255208,0.04559898,31.666667,2.5941168,1.01934766,0.094723859,0.153824432
RLCS13,Ascomycota,Hypocreales,Fusarium_solani,6.31,1.44,31.99,wood,1,0.969322926,0.131602832,0.060809584,0.037756399,1.711974911,33.33333333,40,10,0,1.666666667,0,0,0,20,0,0,0,13.33333333,36.66666667,3.333333333,0,5.9,87,125.45167,15.66131,0.06408122,3.75,1.19373997,0.95302503,0.03455987,0.330238457
RLCS14,Ascomycota,Pleosporales,Didymellaceae_strain_2,5.61,0.74,18.44,wood,1,0.464582372,0.145131518,-0.025842178,-0.028841717,1.626344922,40,6.666666667,10,0,30,6.666666667,0,0,6.666666667,0,0,0,3.333333333,20,13.33333333,3.333333333,6.209091,59,117.94917,31.835714,0.06758897,7.083333,0.02185043,0.16930794,0.012862524,0.829239135
RLCS15,Mucoromycota,Mortierellales,Mortierella_elongata_strain_1,6.55,1.68,16.37,wood,1,0.025330197,0.039442736,0,0,1.097875956,40,40,1.666666667,0,33.33333333,16.66666667,1.666666667,11.66666667,40,0,0,0,0,0,40,0,5.081818,47,98.51917,16.256746,0.0521637,25.833333,0.01929961,0.95942056,0.001596814,1.13661026
RLCS16,Basidiomycota,Agaricales,Pleurotus_pulmonarius,6.38,1.51,26.07,wood,1,0.923611111,0.177083333,0.052083333,0.027777778,1.758039816,40,30,8.333333333,5,40,3.333333333,0,0,30,0,0,0,6.666666667,20,23.33333333,0,6.536364,75,84.58333,18.370833,0.0189095,57.5,2.4672004,2.75011445,0.055625742,0.070845496
RLCS17,Basidiomycota,Agaricales,Clitopilus_sp.,6.77,1.9,26.97,wood,1,0.757679181,0.153583618,0.030716724,0.098976109,1.760869565,26.66666667,30,0,0,30,30,33.33333333,0,26.66666667,6.666666667,3.333333333,26.66666667,26.66666667,16.66666667,33.33333333,3.333333333,7.309091,42,79.48425,16.848958,0.08116044,43.75,2.33938512,1.24670962,0.01370193,0.10604317
RLCS18,Ascomycota,Hypocreales,Gibberella_sp.,4.89,0.02,36.13,wood,0.814884858,1,0.213643115,-0.058321979,-0.006659202,1.802118666,33.33333333,33.33333333,6.666666667,0,36.66666667,18.33333333,0,8.333333333,23.33333333,0,0,0,0,0,33.33333333,0,9.336364,95,78.09667,23.845833,0.06160404,13.75,0.04053087,0.5017854,0.025198091,0.410239452
RLCS19,Mucoromycota,Umbelopsidales,Umbelopsis_isabellina,5,0.13,28.45,wood,1,0.695885991,0.004167787,0,0,1.414234875,40,40,3.333333333,0,40,15,0,6.666666667,23.33333333,0,0,0,10,11.66666667,0,3.333333333,3.7,47,70.4725,11.050694,0.07162559,30.416667,0.0202072,2.09031612,0.015942471,0.202905217
RLCS20,Ascomycota,Hypocreales,Purpureocillium_lilacinum,4.74,-0.13,17.63,wood,1,0.477924945,-0.059602649,-0.046357616,-0.309390389,1.795542541,23.33333333,40,6.666666667,0,0,0,0,0,11.66666667,5,0,0,36.66666667,40,40,0,6.072727,33,55.23008,19.2375,0.06695733,40.416667,0.01664351,1.15413713,0.023075055,0.397281729
RLCS21,Ascomycota,Pleosporales,Pyrenochaetopsis_leptospora,12.61,7.74,23.21,wood,1,0.852534562,0.253456221,-0.006912442,0.032258065,1.725737374,36.66666667,40,5,0,16.66666667,0,0,0,40,0,0,0,1.666666667,36.66666667,40,3.333333333,6.072727,37,44.71425,95.610417,0.12679416,0,1.34973628,1.43569344,0.0929023,1.482026598
RLCS22,Ascomycota,Pleosporales,Paraphoma_chrysanthemicola,47.05,42.18,29.39,wood,1,0.972696246,0.293515358,0.046468889,0.290102389,2.132763975,30,40,20,3.333333333,23.33333333,0,0,0,16.66666667,0,0,0,13.33333333,30,40,0,10.009091,40,44.60708,48.490625,0.14401909,16.25,0.28607981,0.4137602,0.047117593,0.378473143
RLCS23,Ascomycota,Hypocreales,Stachybotryaceae_strain_1,12.41,7.54,26.22,wood,1,0.660130719,0.245915033,0,0.01879085,1.637521222,33.33333333,40,11.66666667,0,33.33333333,3.333333333,0,0,33.33333333,8.333333333,0,0,0,20,13.33333333,5,7.7,72,42.57417,10.048512,0.0800258,53.333333,1.6886273,0.62780097,0.120422438,0.417764765
RLCS24,Ascomycota,Hypocreales,Metarhizium_marquandii,9.09,4.22,30.75,wood,1,0.406684764,0.126569393,-0.005768578,-0.012385477,1.516778523,33.33333333,40,15,6.666666667,25,3.333333333,0,0,40,28.33333333,33.33333333,3.333333333,23.33333333,40,40,23.33333333,6.709091,38,37.55675,28.055952,0.07375664,54.166667,0.14577689,0.67303589,0.063025896,1.129074194
RLCS25,Ascomycota,Hypocreales,Hydropisphaera_sp.,26.63,21.76,31.54,wood,1,0.76953125,0.25390625,-0.005408654,0.0859375,1.804608804,13.33333333,33.33333333,5,0,40,16.66666667,0,0,13.33333333,3.333333333,8.333333333,0,0,13.33333333,16.66666667,3.333333333,8.372727,73,31.05787,16.511905,0.08774341,0,0.06207498,0.74501006,0.028004973,0.682493095
RLCS26,Ascomycota,Helotiales,Tetracladium_marchalianum,5.47,0.6,38.48,wood,1,0.423076923,-0.038461538,0.038461538,-0.076923077,1.533333333,40,40,10,3.333333333,40,0,0,0,26.66666667,3.333333333,0,0,15,40,0,1.666666667,8.872727,30,29.9745,14.922917,0.11670373,0,1.46634042,0.53315371,0.038747915,0.100338963
